[16:19:6] Application Start
[16:20:10] 转换线程启动
[16:20:11] 分析Drop/Drop.xlsx:DropLib
[16:20:12] 生成文件DropLib.ini
[16:20:12] 分析Drop/Drop.xlsx:DropItemLib
[16:23:17] 生成文件DropItemLib.ini
[16:23:18] 分析Drop/Drop.xlsx:FixedDropLib
[16:23:19] 生成文件FixedDropLib.ini
[16:23:19] 生成成功
[16:23:19] 关闭Excel读取环境
[16:23:19] 文件生成结束
